PRODUCT,NPI,DESCRIPTION,PRIORITY
NEUPOGEN,1013126788,340B SETTING,2
PROLIA,1013130731,340B SETTING,2
ARANESP,1013137173,340B SETTING,2
RIABNI,1013137199,340B SETTING,2
TEZSPIRE,1013137199,340B SETTING,2
ENBREL,1013143213,340B SETTING,2
KANJINTI,1013143213,340B SETTING,2
TEZSPIRE,1013143213,340B SETTING,2
MVASI,1013143916,340B SETTING,2
NEULASTA,1013143916,340B SETTING,2
TEZSPIRE,1013143916,340B SETTING,2
PROLIA,1013143940,340B SETTING,2
EPOGEN,1013152305,340B SETTING,2
NEUPOGEN,1013152305,340B SETTING,2
ARANESP,1013152404,340B SETTING,2
NEULASTA,1013152404,340B SETTING,2
PROLIA,1013154236,340B SETTING,2
KANJINTI,1013162163,340B SETTING,2
MVASI,1013162163,340B SETTING,2
ARANESP,1013191493,340B SETTING,2
AVSOLA,1013191493,340B SETTING,2
EPOGEN,1013191493,340B SETTING,2
PROLIA,1013191493,340B SETTING,2
PROLIA,1013217074,340B SETTING,2
KANJINTI,1013244045,340B SETTING,2
MVASI,1013244045,340B SETTING,2
ARANESP,1013247568,340B SETTING,2
PROLIA,1013247568,340B SETTING,2
NEULASTA,1013250901,340B SETTING,2
ARANESP,1013256098,340B SETTING,2
EPOGEN,1013256098,340B SETTING,2
MVASI,1013256098,340B SETTING,2
AVSOLA,1013263649,340B SETTING,2
EPOGEN,1013263649,340B SETTING,2
MVASI,1013263649,340B SETTING,2
PROLIA,1013263649,340B SETTING,2
ARANESP,1013263763,340B SETTING,2
PROLIA,1013270602,340B SETTING,2
ARANESP,1013312511,340B SETTING,2
PROLIA,1013312511,340B SETTING,2
PROLIA,1013335389,340B SETTING,2
PROLIA,1013342112,340B SETTING,2
NEULASTA,1013345024,340B SETTING,2
NEUPOGEN,1013345024,340B SETTING,2
PROLIA,1013349539,340B SETTING,2
ARANESP,1013354067,340B SETTING,2
ENBREL,1013354067,340B SETTING,2
MVASI,1013354067,340B SETTING,2
MVASI,1013358365,340B SETTING,2
PROLIA,1013358365,340B SETTING,2
KANJINTI,1013362623,340B SETTING,2
PROLIA,1013364678,340B SETTING,2
ARANESP,1013367127,340B SETTING,2
AVSOLA,1013367127,340B SETTING,2
AVSOLA,1013374115,340B SETTING,2
MVASI,1013374115,340B SETTING,2
ENBREL,1013378538,340B SETTING,2
NEULASTA,1013401132,340B SETTING,2
MVASI,1013414069,340B SETTING,2
MVASI,1013415603,340B SETTING,2
PROLIA,1013415603,340B SETTING,2
ARANESP,1013446855,340B SETTING,2
NEUPOGEN,1013481225,340B SETTING,2
KANJINTI,1013491075,340B SETTING,2
PROLIA,1013491075,340B SETTING,2
ARANESP,1013497114,340B SETTING,2
PROLIA,1013497114,340B SETTING,2
KANJINTI,1013514199,340B SETTING,2
TEZSPIRE,1013514199,340B SETTING,2
MVASI,1013551472,340B SETTING,2
PROLIA,1013551472,340B SETTING,2
MVASI,1013561851,340B SETTING,2
MVASI,1013627207,340B SETTING,2
RIABNI,1013627207,340B SETTING,2
AVSOLA,1013627967,340B SETTING,2
NEUPOGEN,1013627967,340B SETTING,2
PROLIA,1013627967,340B SETTING,2
KANJINTI,1013639764,340B SETTING,2
NEULASTA,1013639764,340B SETTING,2
EPOGEN,1013646157,340B SETTING,2
MVASI,1013646157,340B SETTING,2
ARANESP,1013905702,340B SETTING,2
KANJINTI,1013905702,340B SETTING,2
NEULASTA,1013905702,340B SETTING,2
PROLIA,1013905702,340B SETTING,2
TEZSPIRE,1013905702,340B SETTING,2
KANJINTI,1013906239,340B SETTING,2
MVASI,1013906239,340B SETTING,2
NEULASTA,1013907153,340B SETTING,2
PROLIA,1013907153,340B SETTING,2
PROLIA,1013907682,340B SETTING,2
ARANESP,1013907955,340B SETTING,2
KANJINTI,1013907955,340B SETTING,2
ARANESP,1013908904,340B SETTING,2
NEULASTA,1013908904,340B SETTING,2
AVSOLA,1013913789,340B SETTING,2
ENBREL,1013913789,340B SETTING,2
ARANESP,1013918747,340B SETTING,2
NEULASTA,1013931369,340B SETTING,2
ENBREL,1013931534,340B SETTING,2
ARANESP,1013933167,340B SETTING,2
AVSOLA,1013933167,340B SETTING,2
PROLIA,1013933167,340B SETTING,2
ARANESP,1013948595,340B SETTING,2
NEULASTA,1013948595,340B SETTING,2
NEUPOGEN,1013948595,340B SETTING,2
PROLIA,1013948595,340B SETTING,2
ARANESP,1013951219,340B SETTING,2
MVASI,1013951219,340B SETTING,2
PROLIA,1013951219,340B SETTING,2
ARANESP,1013951748,340B SETTING,2
ARANESP,1013952688,340B SETTING,2
AVSOLA,1013952688,340B SETTING,2
EPOGEN,1013952688,340B SETTING,2
KANJINTI,1013952688,340B SETTING,2
MVASI,1013952688,340B SETTING,2
NEULASTA,1013952688,340B SETTING,2
TEZSPIRE,1013952688,340B SETTING,2
ARANESP,1013954395,340B SETTING,2
PROLIA,1013954395,340B SETTING,2
NEUPOGEN,1013955731,340B SETTING,2
PROLIA,1013955731,340B SETTING,2
NEULASTA,1013958446,340B SETTING,2
ARANESP,1013959899,340B SETTING,2
NEULASTA,1013959899,340B SETTING,2
ARANESP,1013960657,340B SETTING,2
NEUPOGEN,1013960657,340B SETTING,2
PROLIA,1013960657,340B SETTING,2
ARANESP,1013961408,340B SETTING,2
NEULASTA,1013963644,340B SETTING,2
ARANESP,1013967553,340B SETTING,2
AVSOLA,1013967553,340B SETTING,2
MVASI,1013967553,340B SETTING,2
PROLIA,1013967736,340B SETTING,2
EPOGEN,1013972645,340B SETTING,2
KANJINTI,1013972645,340B SETTING,2
MVASI,1013972645,340B SETTING,2
NEULASTA,1013972645,340B SETTING,2
KANJINTI,1013973296,340B SETTING,2
RIABNI,1013973296,340B SETTING,2
AVSOLA,1013978170,340B SETTING,2
MVASI,1013978170,340B SETTING,2
NEULASTA,1013978170,340B SETTING,2
PROLIA,1013978170,340B SETTING,2
ARANESP,1013994359,340B SETTING,2
AVSOLA,1013994359,340B SETTING,2
NEULASTA,1013994359,340B SETTING,2
ARANESP,1023001237,340B SETTING,2
EPOGEN,1023001237,340B SETTING,2
NEULASTA,1023001237,340B SETTING,2
NEULASTA,1023006061,340B SETTING,2
PROLIA,1023006061,340B SETTING,2
MVASI,1023007937,340B SETTING,2
NEULASTA,1023007937,340B SETTING,2
ARANESP,1023008406,340B SETTING,2
PROLIA,1023009826,340B SETTING,2
TEZSPIRE,1023009826,340B SETTING,2
AVSOLA,1023014842,340B SETTING,2
PROLIA,1023014842,340B SETTING,2
TEZSPIRE,1023014842,340B SETTING,2
AVSOLA,1023018413,340B SETTING,2
ARANESP,1023022803,340B SETTING,2
AVSOLA,1023022803,340B SETTING,2
ARANESP,1023023686,340B SETTING,2
TEZSPIRE,1023023686,340B SETTING,2
MVASI,1023028784,340B SETTING,2
ENBREL,1023032471,340B SETTING,2
MVASI,1023036191,340B SETTING,2
KANJINTI,1023042173,340B SETTING,2
RIABNI,1023042173,340B SETTING,2
AVSOLA,1023043296,340B SETTING,2
TEZSPIRE,1023043296,340B SETTING,2
ARANESP,1023045804,340B SETTING,2
TEZSPIRE,1023046620,340B SETTING,2
PROLIA,1023052040,340B SETTING,2
EPOGEN,1023061439,340B SETTING,2
PROLIA,1023061439,340B SETTING,2
ARANESP,1023063542,340B SETTING,2
ARANESP,1023067493,340B SETTING,2
KANJINTI,1023067774,340B SETTING,2
PROLIA,1023067774,340B SETTING,2
TEZSPIRE,1023067774,340B SETTING,2
ARANESP,1023067840,340B SETTING,2
PROLIA,1023067840,340B SETTING,2
KANJINTI,1023085776,340B SETTING,2
PROLIA,1023093192,340B SETTING,2
PROLIA,1023097771,340B SETTING,2
ARANESP,1023119625,340B SETTING,2
NEULASTA,1023119625,340B SETTING,2
ARANESP,1023121878,340B SETTING,2
NEUPOGEN,1023121878,340B SETTING,2
TEZSPIRE,1023121878,340B SETTING,2
KANJINTI,1023128188,340B SETTING,2
ARANESP,1023146263,340B SETTING,2
EPOGEN,1023146263,340B SETTING,2
KANJINTI,1023146263,340B SETTING,2
EPOGEN,1023149614,340B SETTING,2
KANJINTI,1023149614,340B SETTING,2
NEULASTA,1023149614,340B SETTING,2
TEZSPIRE,1023149614,340B SETTING,2
ENBREL,1023163441,340B SETTING,2
NEULASTA,1023163441,340B SETTING,2
PROLIA,1023163441,340B SETTING,2
TEZSPIRE,1023163441,340B SETTING,2
ARANESP,1023170693,340B SETTING,2
AVSOLA,1023170693,340B SETTING,2
EPOGEN,1023170693,340B SETTING,2
RIABNI,1023170693,340B SETTING,2
ARANESP,1023200110,340B SETTING,2
ARANESP,1023212131,340B SETTING,2
MVASI,1023212131,340B SETTING,2
KANJINTI,1023212321,340B SETTING,2
ARANESP,1023218492,340B SETTING,2
NEULASTA,1023218492,340B SETTING,2
RIABNI,1023218492,340B SETTING,2
ENBREL,1023222494,340B SETTING,2
PROLIA,1023251469,340B SETTING,2
ARANESP,1023253432,340B SETTING,2
MVASI,1023253432,340B SETTING,2
AVSOLA,1023255247,340B SETTING,2
MVASI,1023255247,340B SETTING,2
NEULASTA,1023255247,340B SETTING,2
TEZSPIRE,1023255247,340B SETTING,2
ARANESP,1023263399,340B SETTING,2
NEULASTA,1023266962,340B SETTING,2
PROLIA,1023266962,340B SETTING,2
KANJINTI,1023271558,340B SETTING,2
MVASI,1023271558,340B SETTING,2
NEULASTA,1023271558,340B SETTING,2
MVASI,1023298312,340B SETTING,2
KANJINTI,1023319282,340B SETTING,2
TEZSPIRE,1023319282,340B SETTING,2
ARANESP,1023326352,340B SETTING,2
MVASI,1023326352,340B SETTING,2
NEULASTA,1023326352,340B SETTING,2
NEUPOGEN,1023326352,340B SETTING,2
PROLIA,1023326980,340B SETTING,2
ARANESP,1023327137,340B SETTING,2
AVSOLA,1023327137,340B SETTING,2
NEULASTA,1023327137,340B SETTING,2
KANJINTI,1023336260,340B SETTING,2
PROLIA,1023340429,340B SETTING,2
PROLIA,1023347192,340B SETTING,2
AVSOLA,1023357654,340B SETTING,2
ENBREL,1023357654,340B SETTING,2
PROLIA,1023357654,340B SETTING,2
TEZSPIRE,1023357654,340B SETTING,2
ARANESP,1023362571,340B SETTING,2
ENBREL,1023362571,340B SETTING,2
KANJINTI,1023362571,340B SETTING,2
PROLIA,1023362571,340B SETTING,2
AVSOLA,1023428646,340B SETTING,2
NEULASTA,1023428646,340B SETTING,2
PROLIA,1023428646,340B SETTING,2
ARANESP,1023430766,340B SETTING,2
AVSOLA,1023430766,340B SETTING,2
ENBREL,1023430766,340B SETTING,2
KANJINTI,1023430766,340B SETTING,2
NEULASTA,1023430766,340B SETTING,2
PROLIA,1023432853,340B SETTING,2
KANJINTI,1023441631,340B SETTING,2
ARANESP,1023458882,340B SETTING,2
TEZSPIRE,1023468196,340B SETTING,2
PROLIA,1023481595,340B SETTING,2
ENBREL,1023513116,340B SETTING,2
PROLIA,1023513116,340B SETTING,2
PROLIA,1023528429,340B SETTING,2
PROLIA,1023557253,340B SETTING,2
EPOGEN,1023584869,340B SETTING,2
PROLIA,1023584869,340B SETTING,2
MVASI,1023592334,340B SETTING,2
NEULASTA,1023592334,340B SETTING,2
PROLIA,1023592334,340B SETTING,2
PROLIA,1023607454,340B SETTING,2
ARANESP,1023632916,340B SETTING,2
AVSOLA,1023632916,340B SETTING,2
MVASI,1023632916,340B SETTING,2
NEULASTA,1023632916,340B SETTING,2
PROLIA,1023632916,340B SETTING,2
EPOGEN,1023665262,340B SETTING,2
TEZSPIRE,1023665262,340B SETTING,2
ARANESP,1023689056,340B SETTING,2
PROLIA,1023689056,340B SETTING,2
NEULASTA,1023728979,340B SETTING,2
AVSOLA,1023735271,340B SETTING,2
ENBREL,1023735271,340B SETTING,2
MVASI,1033100052,340B SETTING,2
PROLIA,1033100052,340B SETTING,2
KANJINTI,1033103767,340B SETTING,2
MVASI,1033103767,340B SETTING,2
PROLIA,1033103767,340B SETTING,2
NEULASTA,1033107214,340B SETTING,2
KANJINTI,1033109103,340B SETTING,2
TEZSPIRE,1033109103,340B SETTING,2
AVSOLA,1033114707,340B SETTING,2
MVASI,1033114707,340B SETTING,2
PROLIA,1033114707,340B SETTING,2
ARANESP,1033120076,340B SETTING,2
KANJINTI,1033120076,340B SETTING,2
MVASI,1033120076,340B SETTING,2
RIABNI,1033120076,340B SETTING,2
ARANESP,1033120837,340B SETTING,2
ENBREL,1033120837,340B SETTING,2
AVSOLA,1033125455,340B SETTING,2
NEUPOGEN,1033125455,340B SETTING,2
RIABNI,1033125844,340B SETTING,2
TEZSPIRE,1033125844,340B SETTING,2
EPOGEN,1033133525,340B SETTING,2
PROLIA,1033134606,340B SETTING,2
NEULASTA,1033135751,340B SETTING,2
TEZSPIRE,1033138136,340B SETTING,2
PROLIA,1033139431,340B SETTING,2
ENBREL,1033143623,340B SETTING,2
NEUPOGEN,1033143623,340B SETTING,2
TEZSPIRE,1033143623,340B SETTING,2
ARANESP,1033146105,340B SETTING,2
AVSOLA,1033146105,340B SETTING,2
KANJINTI,1033146105,340B SETTING,2
NEULASTA,1033146105,340B SETTING,2
MVASI,1033152376,340B SETTING,2
ENBREL,1033153895,340B SETTING,2
MVASI,1033153895,340B SETTING,2
NEULASTA,1033153895,340B SETTING,2
PROLIA,1033153895,340B SETTING,2
NEULASTA,1033154638,340B SETTING,2
ARANESP,1033166731,340B SETTING,2
ENBREL,1033166731,340B SETTING,2
EPOGEN,1033166731,340B SETTING,2
NEULASTA,1033166731,340B SETTING,2
NEUPOGEN,1033166731,340B SETTING,2
TEZSPIRE,1033166731,340B SETTING,2
ARANESP,1033169560,340B SETTING,2
KANJINTI,1033169792,340B SETTING,2
TEZSPIRE,1033170279,340B SETTING,2
AVSOLA,1033174552,340B SETTING,2
AVSOLA,1033180765,340B SETTING,2
EPOGEN,1033180765,340B SETTING,2
KANJINTI,1033180765,340B SETTING,2
PROLIA,1033180765,340B SETTING,2
KANJINTI,1033181474,340B SETTING,2
NEULASTA,1033181474,340B SETTING,2
NEUPOGEN,1033181474,340B SETTING,2
KANJINTI,1033190319,340B SETTING,2
NEULASTA,1033190319,340B SETTING,2
KANJINTI,1033190442,340B SETTING,2
ARANESP,1033203658,340B SETTING,2
NEULASTA,1033203658,340B SETTING,2
PROLIA,1033203658,340B SETTING,2
ARANESP,1033210166,340B SETTING,2
KANJINTI,1033210166,340B SETTING,2
ARANESP,1033210323,340B SETTING,2
PROLIA,1033210323,340B SETTING,2
KANJINTI,1033210364,340B SETTING,2
PROLIA,1033210364,340B SETTING,2
AVSOLA,1033225875,340B SETTING,2
MVASI,1033227111,340B SETTING,2
NEULASTA,1033227111,340B SETTING,2
PROLIA,1033233739,340B SETTING,2
ARANESP,1033239587,340B SETTING,2
PROLIA,1033239587,340B SETTING,2
ARANESP,1033244793,340B SETTING,2
KANJINTI,1033244793,340B SETTING,2
PROLIA,1033244793,340B SETTING,2
RIABNI,1033244793,340B SETTING,2
PROLIA,1033259924,340B SETTING,2
PROLIA,1033263835,340B SETTING,2
ARANESP,1033283932,340B SETTING,2
ENBREL,1033283932,340B SETTING,2
MVASI,1033283932,340B SETTING,2
PROLIA,1033283932,340B SETTING,2
KANJINTI,1033284666,340B SETTING,2
MVASI,1033284666,340B SETTING,2
TEZSPIRE,1033284666,340B SETTING,2
ARANESP,1033285010,340B SETTING,2
PROLIA,1033289707,340B SETTING,2
ARANESP,1033294889,340B SETTING,2
ARANESP,1033310248,340B SETTING,2
ARANESP,1033313861,340B SETTING,2
KANJINTI,1033313861,340B SETTING,2
NEULASTA,1033313861,340B SETTING,2
RIABNI,1033313861,340B SETTING,2
AVSOLA,1033318985,340B SETTING,2
PROLIA,1033318985,340B SETTING,2
ARANESP,1033325493,340B SETTING,2
ENBREL,1033325493,340B SETTING,2
TEZSPIRE,1033325493,340B SETTING,2
ARANESP,1033344502,340B SETTING,2
PROLIA,1033344502,340B SETTING,2
AVSOLA,1033356613,340B SETTING,2
EPOGEN,1033356613,340B SETTING,2
ARANESP,1033357645,340B SETTING,2
PROLIA,1033360144,340B SETTING,2
NEULASTA,1033365853,340B SETTING,2
KANJINTI,1033368857,340B SETTING,2
MVASI,1033368857,340B SETTING,2
PROLIA,1033374756,340B SETTING,2
ARANESP,1033382130,340B SETTING,2
AVSOLA,1033382130,340B SETTING,2
KANJINTI,1033382130,340B SETTING,2
NEULASTA,1033382130,340B SETTING,2
TEZSPIRE,1033385083,340B SETTING,2
RIABNI,1033385851,340B SETTING,2
MVASI,1033394762,340B SETTING,2
ARANESP,1033400197,340B SETTING,2
ENBREL,1033400197,340B SETTING,2
KANJINTI,1033400197,340B SETTING,2
NEUPOGEN,1033400197,340B SETTING,2
PROLIA,1033410907,340B SETTING,2
PROLIA,1033418892,340B SETTING,2
MVASI,1033435292,340B SETTING,2
PROLIA,1033454483,340B SETTING,2
NEULASTA,1033464276,340B SETTING,2
PROLIA,1033464276,340B SETTING,2
KANJINTI,1033467857,340B SETTING,2
PROLIA,1033467857,340B SETTING,2
ARANESP,1033472444,340B SETTING,2
KANJINTI,1033472444,340B SETTING,2
PROLIA,1033474325,340B SETTING,2
RIABNI,1033474325,340B SETTING,2
ARANESP,1033481635,340B SETTING,2
PROLIA,1033481635,340B SETTING,2
PROLIA,1033521810,340B SETTING,2
RIABNI,1033521810,340B SETTING,2
ARANESP,1033522735,340B SETTING,2
NEULASTA,1033522735,340B SETTING,2
PROLIA,1033522735,340B SETTING,2
PROLIA,1033522941,340B SETTING,2
ARANESP,1033534490,340B SETTING,2
AVSOLA,1033534490,340B SETTING,2
KANJINTI,1033534490,340B SETTING,2
NEULASTA,1033534490,340B SETTING,2
NEUPOGEN,1033534490,340B SETTING,2
ENBREL,1033538129,340B SETTING,2
KANJINTI,1033538129,340B SETTING,2
TEZSPIRE,1033538129,340B SETTING,2
MVASI,1033544614,340B SETTING,2
NEULASTA,1033547013,340B SETTING,2
ARANESP,1033556964,340B SETTING,2
AVSOLA,1033556964,340B SETTING,2
NEUPOGEN,1033556964,340B SETTING,2
ARANESP,1033563663,340B SETTING,2
PROLIA,1033563663,340B SETTING,2
ARANESP,1033578612,340B SETTING,2
AVSOLA,1033578612,340B SETTING,2
EPOGEN,1033578612,340B SETTING,2
TEZSPIRE,1033578612,340B SETTING,2
EPOGEN,1033582531,340B SETTING,2
NEULASTA,1033582531,340B SETTING,2
MVASI,1033602743,340B SETTING,2
AVSOLA,1033660881,340B SETTING,2
NEULASTA,1033660881,340B SETTING,2
KANJINTI,1033684063,340B SETTING,2
NEULASTA,1033684063,340B SETTING,2
KANJINTI,1033709720,340B SETTING,2
RIABNI,1033709720,340B SETTING,2
NEUPOGEN,1033798871,340B SETTING,2
PROLIA,1033798871,340B SETTING,2
TEZSPIRE,1033798871,340B SETTING,2
PROLIA,1033834940,340B SETTING,2
TEZSPIRE,1033846985,340B SETTING,2
ARANESP,1043201064,340B SETTING,2
NEULASTA,1043204316,340B SETTING,2
ARANESP,1043210495,340B SETTING,2
MVASI,1043210495,340B SETTING,2
TEZSPIRE,1043210495,340B SETTING,2
ARANESP,1043211170,340B SETTING,2
MVASI,1043211170,340B SETTING,2
RIABNI,1043211170,340B SETTING,2
EPOGEN,1043218944,340B SETTING,2
MVASI,1043218944,340B SETTING,2
NEULASTA,1043218944,340B SETTING,2
PROLIA,1043218944,340B SETTING,2
TEZSPIRE,1043218944,340B SETTING,2
ARANESP,1043220650,340B SETTING,2
ARANESP,1043228786,340B SETTING,2
KANJINTI,1043228786,340B SETTING,2
TEZSPIRE,1043228786,340B SETTING,2
PROLIA,1043240922,340B SETTING,2
PROLIA,1043257538,340B SETTING,2
PROLIA,1043259229,340B SETTING,2
ARANESP,1043259542,340B SETTING,2
ENBREL,1043259542,340B SETTING,2
ARANESP,1043263080,340B SETTING,2
KANJINTI,1043263080,340B SETTING,2
ARANESP,1043265119,340B SETTING,2
PROLIA,1043265218,340B SETTING,2
EPOGEN,1043267503,340B SETTING,2
KANJINTI,1043267503,340B SETTING,2
